review,time,category
"Pigmented, Moisturizing, Not Transfer Proof, Not Long Lasting, Smooth In Finish",01/09/18,Lipsticks
"Not Pigmented, Moisturizing, Not Transfer Proof, Not Long Lasting, Not Smooth in Finish",28/07/18,Lipsticks
,27/11/17,Lipsticks
"Pigmented, Not Moisturizing, Transfer-Proof, Long Lasting, Smooth In Finish",8 days ago,Lipsticks
,05/05/18,Lipsticks
,03/06/18,Lipsticks
"Moisturizing, Long Lasting, Smooth In Finish",22/05/18,Lipsticks
,23/11/17,Lipsticks
"Pigmented, Not Moisturizing, Not Transfer Proof, Long Lasting, Smooth In Finish",9 days ago,Lipsticks
,18/11/17,Lipsticks
"Pigmented, Moisturizing, Not Transfer Proof, Long Lasting, Smooth In Finish",25/08/18,Lipsticks
"Pigmented, Moisturizing, Transfer-Proof, Long Lasting, Smooth In Finish",09/09/18,Lipsticks
,18/09/18,Lipsticks
"Pigmented, Moisturizing, Transfer-Proof, Long Lasting, Smooth In Finish",08/04/18,Lipsticks
,05/07/18,Lipsticks
"Not Pigmented, Moisturizing, Not Transfer Proof, Not Long Lasting, Smooth In Finish",22/08/18,Lipsticks
,17/12/17,Lipsticks
"Pigmented, Moisturizing, Transfer-Proof, Smooth In Finish",09/07/18,Lipsticks
,15/08/18,Lipsticks
"Pigmented, Moisturizing, Transfer-Proof, Long Lasting, Smooth In Finish",01/02/18,Lips
"Pigmented, Moisturizing, Not Transfer Proof, Long Lasting, Smooth In Finish",04/06/18,Lips
"Moisturizing, Transfer-Proof, Long Lasting, Smooth In Finish",20/04/18,Lips
,14/04/16,Lips
"Pigmented, Moisturizing, Transfer-Proof, Long Lasting, Smooth In Finish",03/04/17,Lips
,24/12/15,Lips
"Moisturizing, Long Lasting, Smooth In Finish",10/04/18,Lips
"Pigmented, Moisturizing, Not Transfer Proof, Not Long Lasting, Not Smooth in Finish",03/04/18,Lips
,23/04/18,Lips
,01/07/18,Lips
,06/01/16,Lips
,04/04/16,Lips
"Pigmented, Moisturizing, Transfer-Proof, Long Lasting, Smooth In Finish",17/01/18,Lips
"Pigmented, Moisturizing, Transfer-Proof, Long Lasting, Smooth In Finish",30/12/17,Lips
,25/12/17,Lips
"Not Pigmented, Moisturizing, Not Transfer Proof, Long Lasting, Smooth In Finish",30/08/18,Lips
,15/03/18,Lips
"Transfer-Proof, Long Lasting, Smooth In Finish",16/12/17,Lips
"Not Pigmented, Not Moisturizing, Not Transfer Proof, Not Long Lasting, Not Smooth in Finish",30/04/18,Lips
"Moisturizing, Transfer-Proof, Not Pigmented",16/09/18,Lips
,15/06/18,Lips
"Pigmented, Moisturizing, Transfer-Proof, Long Lasting, Smooth In Finish",19/10/17,Lips
"Pigmented, Moisturizing, Transfer-Proof, Long Lasting, Smooth In Finish",02/01/18,Lips
"Pigmented, Moisturizing, Not Transfer Proof, Not Long Lasting, Smooth In Finish",06/03/18,Lips
,17/12/15,Lips
,18/01/16,Lips
"Moisturizing, Long Lasting, Smooth In Finish",02/11/16,Lips
,18/02/18,Lips
"Moisturizing, Transfer-Proof, Long Lasting, Smooth In Finish",27/02/18,Lips
,12/01/18,Lips
"Pigmented, Moisturizing, Transfer-Proof, Long Lasting, Smooth In Finish",11/08/18,Lips
,19/04/18,Lips
"Pigmented, Moisturizing, Not Transfer Proof, Not Long Lasting, Smooth In Finish",12/09/18,Lips
,25/11/16,Lips
,20/05/18,Lips
,10/04/18,Lips
,08/08/16,Lips
,10/09/16,Lips
,25/08/16,Lips
"Smudge-Free, Smooth In Application, Non-Irritating, Long Lasting, Pigmented",28/01/17,Lips
"Smudge-Free, Long Lasting, Pigmented, Smooth In Application",19/09/16,Lips
,01/02/18,Lips
,04/06/18,Lips
,20/04/18,Lips
It is definitely matte as hell...ohhh im madly in love with this lip crayon...I prefer this lip crayon over Lipsticks any day... packaging is classy...black in color. comes with a cute little sharpener. very smoth application. it is a beautiful red color and makes ur face look bright. staying power is quite good... stays upto 5-6 hrs. Go for it girls u will surely love this..,14/04/16,Lips
omg...i can't express how happy i am to buy this lipstick.After a lot of research work and through process i decided to buy this lipstick  and i am glad that i got exactly the red color that i was looking.          It glides like butter on lips and stays like  Forever!,03/04/17,Lips
Perfect Red lipstick :),24/12/15,Lips
its awesome,10/04/18,Lips
"The product is not completely matte but more of a creamy matte. I Chose the color plum but the color is not even close to what is presented in the picture. I have brown skin and the shade washes me away.
Talking about the formula, the color leaves stain after some time",03/04/18,Lips
"The shade partying with mascot is amazing.. If you love deep pinks with a hint of nude and plum, go for this... Perfect for office and college... Staying power is good... Not transfer proof though, but stays for 5 hours if you don't have oily or buttery meals... Moisturizing...",23/04/18,Lips
,01/07/18,Lips
I bought this from a physical store a few days back. At first I was skeptical because of the wooden pencil and I assumed it would be hard to use. But this slides in like a dream you don't need to exfoliate your lips at all. It feel like butter on the lips. And the colour <3 Such a bright shade every girl's must have . It makes my face look bright and you don't really need any thing else on your face ! It's not a twist up though and you need to sharpen it so care needs to be taken to avoid product wastage. The color pay off is awesome as well. stays for 4 hours without any meals. A little pricey but a good amount of product is available so it's a decent. a,06/01/16,Lips
Creamy matte shade and long lasting . Beautiful shade for medium complexion.,04/04/16,Lips
"Very smooth, just glides through the lips and long lasting. ",17/01/18,Lips
,30/12/17,Lips
,25/12/17,Lips
,30/08/18,Lips
,15/03/18,Lips
They do not give the free sharpener. Which is available in every other website or store.,16/12/17,Lips
it is a very bad product.....I ordered a colour but Purplle gives me another colour....which I don't want....plz don't go for it,30/04/18,Lips
Colour is fine. But smells bad,16/09/18,Lips
no d color is not d same as shown in dpiciwant toreturn it wat is d process.nd want d same as shown jn d pic plz help out,15/06/18,Lips
it's creamy glides smoothly...and very much pigmented....stays for a long time 5_7 hours....best fr winters bcz its texture is creamy matte .,19/10/17,Lips
Color on the net and the actual product is vastly different hence it was a disappointing buy,02/01/18,Lips
"Highly pigmented, smooth in application but not transfer proof n if the mouth area is oily then the lipshade tends to bleed n spread all outside the lip area ...😒 otherwise good product! ",06/03/18,Lips
"Lakme absolute pout is a must try lipstick. Its totally different in its texture than other lipsticks available in the market. It really gives you a pout effect, if applied with a nice lip liner.<br/>However, as its a mat finish lipstick (which i actually like about it), use lip balm prior to applying this, on your lips to avoid the dry feeling.",17/12/15,Lips
very nice color but little bit dark,18/01/16,Lips
love the color at this price,02/11/16,Lips
I purchased the Brownie Point shade. Very nice warm colour. Looks amazing on wheatish skin. Safe color and can be used for any occasion... at fun or at work... u will surely make them look at you twice...,18/02/18,Lips
must buy shade for every age. i boughone for myself and one for my mother. Loved it. Wear it everyday to work,27/02/18,Lips
,12/01/18,Lips
,11/08/18,Lips
,19/04/18,Lips
"I'm very much satisfied with this chubby stick ..... it is tinted , creamy and suitable for medium to fair skin tone . only the problem is that it is not transfer proof",12/09/18,Lips
its fabulous in quality n price tooo..:D,25/11/16,Lips
,20/05/18,Lips
,10/04/18,Lips
Its a 5star product. Amazing colour. i love lot sugar crayon. all shade are my fav.,08/08/16,Lips
"After browsing thru a million reviews i got dis at 15% off frm purplle.without a doubt i hv got my holy grail lipsticks.they are so incredibly matte n yet doesnt dry lips.my lips wer well hydrated fr the whole time i had d lipstick on.the colour payoff is awesome .. jst one stroke n u get d perfect color on d crayon.i love all d 4 shades bt my favourite has to be holy golightly n Scarlet o'hara... holy golightly is a beautiful nude pink n i hv totally fallen in love with it.if u jst feel lyk trying one shade, go fr dis one.u wont regret.i am sooo happy to own dis box n loveeee shopping with purplle...",10/09/16,Lips
Awesome lipstick.. Matte look..  elegant.. And No.1 Lipstick as of now available in India,25/08/16,Lips
"Loved the lipstick shade.
A perfect pinky nude for office.
Kajal is also highly pigmented and smooth.
Awesome deal",28/01/17,Lips
This is the first time I'm using sugar product. While purchasing I felt it's bit expensive. But I wanted to give a try. So I placed an order. It took nearly 6 days to get delivered. Coming to the product reviews the eye liner is pointed and thin. It's smudge proof and stays for long. The lipstick is awesome. it glides smoothly and non transferable. High quality lipstick. it's absolutely matte and don't dry out the lips. Now I know why it's expensive. Once in a lifetime have to try Sugar...,19/09/16,Lips
marry poppins.. one of the best shades of sugar.. in love it the color. superr hawt.. ?,29/07/17,Lips
I'm so in love with this stay quirky lipstick. It’s a rich mocha shade. I wear it on multiple occasions. It even suits my office outfits and lasts throughout the day.,26/10/17,Lips
Don't go for it. Lips starts to give shrinking feel and dry out. Color changed once it is applied to pale pink color. Very bad experience.,23/11/17,Lips
It's light shade ,02/11/17,Lips
product wise gd bt .... packaging not so good...no manufacturing or expairy date.,22/04/18,Lips
"Dark pink shade,  worthy ♥",15/04/18,Lips
,07/08/18,Lips
hey I recently order this product from the purplle website but got allergy from the lipstick. as well as these lipsticks are not comfortable at all on the lips,24/08/18,Lips
the color is different from what is shown its more light pink,08/08/18,Lips
,10/01/18,Lips
,22/05/18,Lips
,01/05/18,Lips
It creates illusion whether its is red or it is dark brown but its so lovely colour that i have ever in my lipstick collection,05/08/18,Lips
best lipstik but colour is not same its a brown but very nice lipstik and longlasting,28/08/18,Lips
,07/09/18,Lips
bang onn no.6 is perfect for Indian skin type,25/08/18,Lips
,09/09/18,Lips
,18/09/18,Lips
"in love with faces product, so far using Faces products only.. Nd this shade is really really pretty for all skin tone. mine is dusky and suits me really really well",26/03/18,Lips
"Dark Chocolate is an extremely beautiful color for all shades. But if your dusky (like me), this can be you next everyday-go-to color. About the transfer- proof: yes it is not completely transfer proof but its not at all gaudy in any way! If you're having a coffee or something, it leaves a very small trace. The fading out is very even throughout, and it even leaves you're lips a bit pigmented (in a good way) which gives a very natural fading out look (If you know what i mean :-P). It's amazingly moisturizing from the time of applying to the end (not even once did it dried or chapped my lips). So go ahead and buy this one girls, It's a keeper!",27/03/18,Lips
color is too darker,08/01/18,Lips
Dont buy this product because the staying power of this lipstick is very bad...not long lasting at all..,11/06/18,Lips
,26/03/18,Lips
,19/05/18,Lips
The color is awesome. Very light weight when applied on lips and the lipstick stays for long time.,25/02/17,Lips
"Transfers far too easily. Gets on food, the bit of skin just under my lower lip, clothes, EVERYTHING. Not matte, but it doesn't claim to be so--it is, however, quite drying. Also, lasts for a maximum of 2h. I bought it because the colour is honestly SO beautiful, almost universally flattering. It has a pleasant but strong fragrance. I wouldn't repurchase. ",05/03/17,Lips
"Such a gorgeous colour! It smells so yummy. The applicator is very convenient. I wish it lasted longer, as it disappears when you eat something.",01/07/17,Lips
Oh so refreshing. Not seen such a shade that I've seen. Pigmented and super water resistant. That's all I needed with an amazing shade.,09/12/17,Lips
Love the colour and the finish of it,18/11/17,Lips
I love Krishna Mehta and her collection is amazing. Now she takes over her lipstick and I'm here for it,23/11/17,Lips
i ordered mauve shade and received different shade..very disappointed ,10/04/18,Lips
bad experience..,03/08/18,Lips
,23/05/18,Lips
my personal favorite. l love the shade..good for fair skin ladies.. moisturizes the lips very well and is very long lasting..gives u a sexy pout..makes the lips plump.most importantly it is non sticky.Perfect for young ladies!!,16/04/15,Lips
worst shade and texture..makes lips chapped.,27/04/16,Lips
It's just a transparent lipgloss just a local normal one,16/03/17,Lips
,11/03/18,Lips
,07/04/17,Lips
,02/12/17,Lips
I ordered it with high hopes but wasn't even close. It has really really bad medicine like smell and i didn't like the consistency either.  total waste,01/10/17,Lips
"Very bad product, money wasted, its not a matte product.. Its like a lip gloss",22/01/18,Lips
,28/12/17,Lips
,30/12/17,Lips
,05/04/18,Lips
"I just love this lip color.creamy formula,hell pigmented.",21/03/18,Lips
,11/09/18,Lips
Really good for the price 😊 But lacks lustre.. More matte texture.. Long lasting and can be used as a base for. Lip glosses ,20/02/18,Lips
This has been my favourite lip color from the day I first tried it. It is an amazing rosy pink liquid lipstick and will definitely suite people from fair to medium skin tones. The doe foot helps apply this lipstick very easily. It is extremely transfer proof and very  long lasting.,06/10/17,Lips
,15/09/18,Lips
,26/10/17,Lips
"Not Pigmented, Not Moisturizing, Not Smooth in Finish",23/11/17,Lips
"Not Pigmented, Moisturizing, Smooth In Finish",02/11/17,Lips
"Pigmented, Not Moisturizing, Transfer-Proof, Long Lasting, Smooth In Finish",22/04/18,Lips
,15/04/18,Lips
,07/08/18,Lips
"Pigmented, Not Moisturizing, Not Transfer Proof, Not Smooth in Finish",24/08/18,Lips
,08/08/18,Lips
"Pigmented, Not Moisturizing, Transfer-Proof, Smooth In Finish",10/01/18,Lips
"Not Moisturizing, Not Long Lasting, Not Smooth in Finish",22/05/18,Lips
"Pigmented, Not Moisturizing, Transfer-Proof, Long Lasting, Smooth In Finish",01/05/18,Lips
"Pigmented, Moisturizing, Transfer-Proof, Long Lasting, Smooth In Finish",05/08/18,Lips
,28/08/18,Lips
"Not Pigmented, Not Moisturizing, Transfer-Proof, Long Lasting, Not Smooth in Finish",07/09/18,Lips
"Pigmented, Moisturizing, Not Transfer Proof, Long Lasting, Smooth In Finish",25/08/18,Lips
"Pigmented, Moisturizing, Transfer-Proof, Long Lasting, Smooth In Finish",09/09/18,Lips
,18/09/18,Lips
"Pigmented, Transfer-Proof, Long Lasting, Smooth In Finish",26/03/18,Lips
,27/03/18,Lips
"Pigmented, Not Moisturizing, Transfer-Proof, Long Lasting, Not Smooth in Finish",08/01/18,Lips
"Pigmented, Moisturizing, Transfer-Proof, Not Long Lasting, Smooth In Finish",11/06/18,Lips
,26/03/18,Lips
"Pigmented, Transfer-Proof, Long Lasting, Smooth In Finish",19/05/18,Lips
"Value For Money, Good For Daily Use, Convenient Packaging",25/02/17,Lips
Convenient Packaging,05/03/17,Lips
,01/07/17,Lips
,09/12/17,Lips
,18/11/17,Lips
,23/11/17,Lips
"Pigmented, Not Moisturizing, Not Transfer Proof, Long Lasting, Smooth In Finish",10/04/18,Lips
"Not Pigmented, Not Moisturizing, Not Transfer Proof, Not Long Lasting, Not Smooth in Finish",03/08/18,Lips
,23/05/18,Lips
,16/04/15,Lips
,27/04/16,Lips
"Does not Add Shine, Not Transfer Proof, Easy For Application, Expensive",16/03/17,Lips
"Moisturizing, Transfer-Proof, Long Lasting, Smooth In Finish",11/03/18,Lips
"Pigmented, Moisturizing, Transfer-Proof, Long Lasting, Smooth In Finish",07/04/17,Lips
"Pigmented, Moisturizing, Transfer-Proof, Long Lasting, Smooth In Finish",02/12/17,Lips
,01/10/17,Lips
"Not Pigmented, Not Moisturizing, Transfer-Proof, Not Long Lasting, Not Smooth in Finish",22/01/18,Lips
,28/12/17,Lips
,30/12/17,Lips
,05/04/18,Lips
,21/03/18,Lips
,11/09/18,Lips
,20/02/18,Lips
,06/10/17,Lips
,15/09/18,Lips
,10/09/16,Eyes
"Lenghtening, Volumizing, Long Lasting, Value For Money, Good For Daily Use",30/05/17,Eyes
"Lenghtening, Long Lasting, Good For Daily Use, Convenient Packaging",19/09/17,Eyes
"Lenghtening, Volumizing, Good For Daily Use, Convenient Packaging",20/12/17,Eyes
"Lenghtening, Volumizing, Long Lasting, Value For Money",06/05/17,Eyes
"Not Lengthening, Not Volumizing, Not Long Lasting, Expensive, Not for Daily Use",28/07/18,Eyes
,12/02/18,Eyes
"Not Lengthening, Volumizing, Not Long Lasting, Expensive, Not for Daily Use",09/02/18,Eyes
"Not Lengthening, Not Volumizing, Not Long Lasting",08/02/18,Eyes
"Lenghtening, Volumizing, Long Lasting, Expensive, Not for Daily Use",16/03/18,Eyes
"Not Lengthening, Not Volumizing, Not Long Lasting, Not for Daily Use, Packaging is Blah!",18/05/18,Eyes
,10/07/18,Eyes
"Lenghtening, Volumizing, Long Lasting, Convenient Packaging",4 days ago,Eyes
"Good For Daily Use, Lenghtening, Volumizing, Long Lasting",27/01/18,Eyes
"Not Lengthening, Not Volumizing, Not Long Lasting",13/02/18,Eyes
"Expensive, Good For Daily Use, Not Lengthening, Not Volumizing, Long Lasting",06/08/18,Eyes
"Convenient Packaging, Lenghtening, Not Volumizing, Not Long Lasting",06/11/17,Eyes
,29/10/17,Eyes
"Lenghtening, Volumizing, Long Lasting",26/10/17,Eyes
,28/11/17,Eyes
,28/03/18,Eyes
"Lenghtening, Volumizing, Long Lasting",20/02/18,Eyes
,03/05/17,Eyes
"Not Lengthening, Volumizing, Expensive",03/05/18,Eyes
"Good For Daily Use, Lenghtening, Volumizing, Long Lasting",23/02/18,Eyes
,26/03/16,Eyes
,09/04/14,Eyes
,25/03/16,Eyes
"Not Lengthening, Not Volumizing, Expensive, Good For Daily Use",4 days ago,Eyes
"Good For Daily Use, Lenghtening, Volumizing, Long Lasting",02/07/18,Eyes
"Lenghtening, Volumizing, Long Lasting, Value For Money, Good For Daily Use",24/07/18,Eyes
,31/12/17,Eyes
,30/07/15,Eyes
"Expensive, Good For Daily Use, Not Lengthening, Volumizing, Not Long Lasting",12/04/17,Eyes
"Lenghtening, Volumizing, Long Lasting, Value For Money, Good For Daily Use",24/03/18,Eyes
"Expensive, Not for Daily Use, Not Lengthening, Not Volumizing, Not Long Lasting",28/05/18,Eyes
"Not Lengthening, Not Volumizing, Not Long Lasting, Good For Daily Use",02/11/17,Eyes
"Lenghtening, Volumizing, Not Long Lasting, Expensive, Good For Daily Use",14/12/17,Eyes
"Expensive, Not for Daily Use, Not Lengthening, Not Volumizing, Not Long Lasting",19/01/18,Eyes
"Good For Daily Use, Convenient Packaging, Lenghtening, Volumizing, Long Lasting",29/08/17,Eyes
,10/06/18,Eyes
"Lenghtening, Volumizing, Long Lasting",13/07/17,Eyes
"Good For Daily Use, Volumizing, Long Lasting",17/05/18,Eyes
"Not for Daily Use, Not Long Lasting",03/02/17,Eyes
"Not Lengthening, Not Volumizing, Not Long Lasting, Expensive, Not for Daily Use",28/07/18,Eyes
"Not Lengthening, Not Volumizing, Not Long Lasting, Expensive, Not for Daily Use",26/01/18,Eyes
"Not Lengthening, Not Volumizing, Not Long Lasting, Expensive, Not for Daily Use",17/06/18,Eyes
"Not Lengthening, Volumizing, Long Lasting",27/06/18,Eyes
"Not Lengthening, Volumizing, Long Lasting",27/06/18,Eyes
,27/06/18,Eyes
,27/06/18,Eyes
"it smells vry bad. its waterproof maskara...not removed by water, some remover should apply for remove it properly, if trying to remove by water...chances of breaking eye lashes.",10/09/16,Eyes
"Your eyelash game is on point when you have this mascara by maybelline. And yes you no longer have to worry about buying an eyelash curler from now on because this mascara serves the purpose so well. the best part is that it doesn't feel heavy on your eye lashes and it is waterproof...!! (whooppppiieee) 
A must buy...!!",30/05/17,Eyes
its nice and gives length but it does not gives volume to lashes,19/09/17,Eyes
this mascara is awesome..application of this mascara is like weraring artificial eyelashes  .....it alse curls and volumnizes,20/12/17,Eyes
An awesome product,06/05/17,Eyes
take return maskara,28/07/18,Eyes
,12/02/18,Eyes
not satisfied. .not waterproof and too much thick,08/02/18,Eyes
not a good mascara...feeling bad after buying it..,09/02/18,Eyes
"Every thing is fine with this mascara except for it's wand . It takes me quite a time to apply it evenly on all of my lashes, from 1st to last lash on my eyelids. Otherwise I have yet to come across it's downside.",16/03/18,Eyes
plz not purcse,18/05/18,Eyes
"completely dry, waste of money I don't know what to say ,when I opened it ,mascara is completely dried ,at that moment I very sad ........disappointed .",10/07/18,Eyes
,4 days ago,Eyes
Yeah it's nice. ..,27/01/18,Eyes
dnt go with images. not good,13/02/18,Eyes
,06/08/18,Eyes
okok,06/11/17,Eyes
Lakme is always super ... packaging was good,29/10/17,Eyes
,26/10/17,Eyes
good,28/11/17,Eyes
my mascara is totally dried not useful,28/03/18,Eyes
,20/02/18,Eyes
This mascara is really nice,03/05/17,Eyes
"mascara is ok in quality like any other mascara available in market.  No lengthening effect, obviously it makes ur lashes look more fuller but even a simple mascara does that.
consistency is very thick and product in the tube is very less. I had to move brush along the walls to find product even for the first application.",03/05/18,Eyes
I don't actually see the difference between Lenghtening n Volumizing mascara both seems same to me but the mascaras are over all good,23/02/18,Eyes
didn't liked..gone through all the reviews and thought it'll b great..but I'm extremely disappointed this time..not good at all..,26/03/16,Eyes
"First of all, I would blindly buy a Maybelline product for the quality and reasonable price.
I purchased Volume Express Waterproof mascara as an extra precaution to save running mascara in times of rain.
Use this after using eye lash curler and steal the show.
Pros:
Handy.
Reasonably priced.
Waterproof.
Quite easily washable.
Brightens the look of eyes.
Instant voluminous lashes.
",09/04/14,Eyes
An amazing product which gives a very gorgeous look. Increases the volume of our eyelashes and gives them an attractive look,25/03/16,Eyes
not too good....ok ok typez,4 days ago,Eyes
,02/07/18,Eyes
Nice as described above...😍,24/07/18,Eyes
"At first I disliked this mascara, but there's a different method of using it. Never go beyond three strokes with this, or you will end up with spider legs. Dries quickly, stays put all day, is waterproof, doesn't irritate. Gives a slight boost to the lashes, not much. Curl your lashes for sure before applying to get the most out of it.",31/12/17,Eyes
I have very light lashes. So one of my friend suggested me this mascara. Its so voluminous that there is no need to add false lashes. It immediately pops out my eyes. ,30/07/15,Eyes
,12/04/17,Eyes
,24/03/18,Eyes
"very dry material , almost dry from inside .  faces product other than this are very good but this mascara is doesn't worth to buy.",28/05/18,Eyes
a very average product,02/11/17,Eyes
"smells wierd
not at all waterproof
dries very slowly",14/12/17,Eyes
,19/01/18,Eyes
,29/08/17,Eyes
Its great but pinpoint is very thin and little suitable to my needs.,16/11/15,Eyes
A good long lasting eye liner... with smooth finish and easy application. Just a drawback is it is a bit heavy on the pocket.,12/03/17,Eyes
"This eyeliner is the best one I have used so far. It is smudge free, long lasting, glides very easily, the tip is smooth and easy to apply, dark pigmented. I now prefer this over the Maybeline colossal liner which dried out pretty quick. ",04/01/18,Eyes
I am a college going student and have college from 9:00 am to 5:30 pm. I am obsessed with the look of a winged liner on my eyes and was looking for an eyeliner that will fit into my budget and give me good results. I was recommended this eyeliner by a friend and I kid you not tie eyeliner is the darkest matte black eyeliner I have ever used. It literally requires just one swipe and it gives an insanely dark crisp line. The liner is waterproof and lasts me the entire day without any touch-ups. The wand of the eyeliner is so comfortable to hold and the bristles are perfect to draw a wing in seconds.,07/10/17,Eyes
one of the best liquid eyeliners i have used till date. perfect black and matte.i love it.,24/09/17,Eyes
doesn't stays long....if we rub eyes its washed off,28/08/17,Eyes
,08/05/18,Eyes
"It's very rough does not glide on smooth, not very pigmented, dry in application. First experience with Faces Eyepencil, not happy, [Picked up Lead Grey shade] would go for colorbar any day over this!!!",12/06/18,Eyes
,05/03/18,Eyes
"Very nice Kajal I just loved it, very gud than Maybelline",19/02/18,Eyes
,05/05/18,Eyes
,11/03/18,Eyes
,08/11/17,Eyes
It is very nice. I am satisfied with the colour and quality of this product.,02/02/18,Eyes
not bed,5 days ago,Eyes
"nah, no. ",07/06/18,Eyes
,10/08/18,Eyes
,13/08/18,Eyes
brush is very thin but that makes easy to wing,08/05/18,Eyes
nice product...very classy red tube ...easy to carry ....precise tip..and long lasting,20/06/18,Eyes
,04/06/18,Eyes
,26/05/17,Eyes
,11/09/18,Eyes
,14 days ago,Eyes
"I have no practice or skill of applying the eyeliner precisely. However, I am very fond of a perfect eye make-up. I switched to this Eyeliner pencil and I love the results. My hands don’t need to be steady to have a perfect eyeliner now. This pencil glides easily on my eyelids and its fine tip helps me to get any desired style on my eyes.",21/11/17,Eyes
"nice product,nice packaging n fast delivery",11/01/18,Eyes
such nice eyeliner,08/02/18,Eyes
Amazing,23/05/18,Eyes
,25/06/18,Eyes
Very nice boom eyeliner ...,03/01/17,Eyes
"i liked the product.its easy applicable, its smudge free and water proof. brush is soft. color does nt fade away.it does nt gt washd easily with water n mild face wash.",03/12/17,Eyes
Not at all worth buying. It dries out and becomes useless.,24/12/16,Eyes
good eyeliner but not waterproof.,20/01/18,Eyes
"One of the best eye liners in the form of a pen which is portable, cute and long lasting. It's smudge free ❤ I love imported products and this one is made in Germany! I'll buy this from now on ....",29/05/18,Eyes
Very Good Liner.,08/03/18,Eyes
"Colorbar this eyeliner is mindblowing, Color and application is very smooth....
superb product.",29/09/17,Eyes
,15/01/18,Eyes
,13/12/17,Eyes
Excellent pen liner!! Easy to use... Glides smoothly...value for money.. ,25/11/17,Eyes
,09/02/18,Eyes
,03/02/18,Eyes
,16/04/18,Eyes
,19/02/18,Eyes
,24/08/17,Eyes
"It's good.. Especially if you got oily skin, as it doesn't go off easily like other products",19/01/17,Eyes
"I would rate it 4.5 though I really wish to give it 5 on 5. The only con I notice is its pricing, it should be a little moderately priced. Coming to the best features, it's lightweight and doesn't irritate your eyes. It is a dark black an very heavily pigmented, usually one stroke should be enough unless you want a very thick line. I have used many eyeliners bt this one is the best of all. Easy to remove as well, using a little warm water,  or a makeup tissue. it peels off easily.  It's  must buy, try once if you are a sucker for liners. ",18/09/16,Eyes
"On my second tube now. Favourite eyeliner, has overshot the Colorbar liquid liner in my esteem which I had repurchased four times. The applicator wand works beautifully and the formula is matte.",24/12/17,Eyes
"Good pick for your eyes especially for those matte lovers out there.
",08/09/18,Eyes
,16/11/15,Eyes
"Smudge-Free, Long Lasting, Pigmented, Smooth In Application",12/03/17,Eyes
"Smudge-Free, Long Lasting, Pigmented, Smooth In Application",04/01/18,Eyes
