review,time,category
I'm using this cream for the past 2 months and it's just amazing gives clear glow to the skin. I will recommend this to all girls,1483033262000,creams
,1487089381000,creams
so nice,1487089381000,creams
Good cream which gives you perfect radiance luk. Health Nd glow always out of stock with this product.,1511132675000,creams
"Awesome 
",1496518941000,creams
??????,1530894025000,creams
good,1509535813000,creams
I have used this cream and the initial results were clearly visible. I am planning to purchase it again. My last bottle lasted for almost 5 months.,1529489812000,creams
yes,1533124024000,creams
Good shampoo. I have been using this brand and version (daily shine) since nearly 2 years now. It is good for my hair and even stopped hairfall.,1508001198000,creams
"daily shine is good 4 everyday use, it is not too harsh.
",1508001459000,creams
I have bought this shampoo many times at Pure Beauty and loved it. ,1508241189000,creams
have used this shampoo for the 1st time & have applied twice I cd see a remarkable difference specially on frizzy & dry hair they become soft & shiny,1509147811000,creams
cud see d diff.. It makes hair so silky n manageable dat u wud simply luv ur hair. fragrance is nyc n its worth buying.,1501945249000,creams
"Good, Effective!",1515170849000,creams
,1488625535000,creams
Good product,1488625535000,creams
,1488625946000,creams
Good improvement,1488625946000,creams
excelent shampoos,1531304737000,creams
This is the  5th time I am buying this shampoo. Absolutely love this shampoo.It has brought back life and volume to my hair.  ,1508942816000,creams
silk and healthy,1534333238000,creams
,1481898890000,hairs
Did not get desired result as shown in pic. I didnt find any differences on my hair colour for  this honey shade.,1481898890000,hairs
"This is perfect tool to create curls and straight. 
love it. very happy with my purchase 
  ",1495039074000,hairs
,1487110409000,body
"so nourishing during winter
",1487110409000,body
,1487111107000,body
,1488108945000,body
,1488108952000,body
best for dry skin,1519942066000,body
It is the best product for intense moisturisation. ,1507726697000,body
"Very pleasant smell, lathers really well. I have used many brands and varieties of body wash and prefer this one over all others.",1508239461000,body
,1482536908000,body
"good












long lasting . very effective . highly recommended


must in beauty regime .",1529250815000,body
v good,1526438076000,body
"This is available for Rs.248/- on
 Amezon. Don't purchase from this site.",1525352185000,body
The cream has light and clean fragrant which is something I've been looking for in India for quite a while. This lotion is good for dry skin type. ,1498806600000,body
Very good product...affordable...best body butter in this price range...very moisturizing...skin feels so smmoth and soft all the day...absorbs quick,1508002099000,body
Excellent Moisturizer with refreshing fragrance Acai & Goji Berry.Gave my skin 24 hour hydration and helped in repairing my dry and chapped skin,1510238634000,body
I have combination of dry and oily skin. Delon Pomegranate & Orchid Lotion provided excellent nourishment to my skin without making it greasy or dry.,1507734536000,body
we want this product back,1510851334000,bath
It moisturizes well! overall a great product!,1537053677000,bath
satisfied with the product,1530827805000,bath
Retains moisture,1508489790000,bath
Superb,1527627948000,bath
the same product on nykaa is less expensive,1513203473000,bath
"Smells great, works well. New fragrance and packaging, good for a refreshing change.
",1508152327000,bath
this product is awesome and quick delivery thank u health and glow??,1524432844000,bath
good,1513009455000,baby products
,1482855850000,Natural
,1482855855000,Natural
,1482855861000,Natural
,1486490208000,Natural
"Gives ample moisturization . Whenever the skin gets dry or flaky due to traveling, this is my go to lotion.Perfect for after face wash application",1508114682000,Natural
"Awesome 
",1496518941000,Natural
??????,1530894025000,Natural
????,1520553562000,Natural
worked like a miracle!,1535717440000,Natural
clearly shown the good difference,1498925260000,Natural
get curd,1514456332000,Natural
For me this face was is average. The face wash gets all of the dirt out of ones face but it's a bubbly face wash which I don't like.,1524793636000,Natural
good,1509535813000,Natural
"SPF French creame
excellent. amazing creame for melasma",1513971545000,Natural
Used for a month it is good when applied on face used to be very fair and also protects from sunlight,1528278835000,Natural
,1484924589000,Natural
,1484924589000,Perfume
