review,time,category
I just love this ultimate pro matte lip crayon. so smooth and so pigmented . just a little bit stroke and you are done.,2018-09-15 08:29:24,Makeup
"It's a matte finish, smooth, do not crack. waterproof. love this crayon.",2018-09-15 08:00:09,Makeup
"Perfect lip crayon creamy and matte finish beautiful shade,  classy look.
",2018-09-15 06:29:57,Makeup
This is perfect shade for indian skin tone. Super pigmented. Glides vary easily. Its creamy texture giving matte finish. Amazing shade for wedding season.,2018-09-14 09:57:42,Makeup
Awesome lipstick. This would suit for every completion without a second thought.,2018-09-14 05:19:55,Makeup
"It was my 1st purchase of faces and lip colour too. My 1st shade was midnight rose and I really like it. That was the only reason I purchased more shades in just 20 days. Now I ordered two shades: (1) Irresistible pink and it is bright pink colour and I love this shade. (2) Majestic rose its shown in pictures like Little bit brownish colour in light shade but in reality, it is maroon in colour. Yes, it's nice but that was not that colour which I thought. Otherwise, I like faces crayons it's really pigmentated and matte and it stays for long and you don't need for touch up after lunch or dinner. I'm only disappointed with majestic rose shade.",2018-09-13 18:15:07,Makeup
It's a brownish nude and I kinda like it.,2018-09-24 17:40:23,Makeup
"Pros 
1. Great pigmentation and wear. Last for about 4-5hours without a top up and obviously no food. 
2. Fades beautifully. 
3. Shade range matches and suits a lot of Indian skin tones. 
4. Great price for a gift and love the magnetic cover.
5.  Nice pleasant scent.
Cons
1. Intially when I got it it had a layer of oil that had separated from the lipstick so initial application was a bit dry.
2. The packaging even tho is chic, is a little bulky.",2018-09-23 17:12:23,Makeup
"The color is beautiful, it glides easily and stays for long.",2018-09-23 15:44:52,Makeup
Super creamy.. Awesome texture.. Just love this one.,2018-09-23 15:42:56,Makeup
Just awesome.. Looks good on wheatish skin tone.. a must have,2018-09-23 15:41:34,Makeup
"It stays for long way better than Lakme products, I'm totally in love with this.",2018-09-23 15:19:01,Makeup
I usually don't like loud ones. This is amazing that's it nude and make me my lips feel glossy and natural love this shade a lot.,2018-09-23 13:45:15,Makeup
Long wear lipstick with luminous satin finish stay true colour last up to 10 hour,2018-09-23 13:02:46,Makeup
Full of spectrum of essential lipstick colour that are totally irresistible,2018-09-23 13:00:14,Makeup
For the price they have a great shade range and pigmentation is bomb.,2018-09-23 09:17:43,Makeup
Both the shades are good for Indian complexions but the shades are a little on the darker side as compared to the images. Overall worth the buy and my personal favorite will be Naughty nude among the two.,2018-09-23 09:05:51,Makeup
I used this from my friend and it suits me perfect. Highly recommending this shade.,2018-09-23 09:03:07,Makeup
Used it from my friend and its the best.. ❤️ recommending for everyone,2018-09-23 09:01:56,Makeup
The product promised is far different from product in picture . It does not work for skin tones which are on the darker side. Might work for a really fair skin tone.  It is disappointing.,2018-09-23 08:56:02,Makeup
"Smooth, perfect shade I was searching for this.. and this is the second buy for same colour... I loved it so much that bought another one for my mom also...",2018-09-23 07:07:16,Makeup
The shade is not exactly how it looks like... but some how I liked it on my skin.. Nykaa lipsticks are really better than anyone in the market.. after applying cracks are not even seen.. it looks smooth..,2018-09-23 07:05:48,Makeup
The product is good....and well pigmented but it has a taste....which I didn't like ...l like lipstick that doesn't have any taste.... otherwise I don't have a prob with that it's a great product...,2018-09-23 03:33:23,Makeup
Good matte lipstick. Awesome shade.. Lil creamy.. All day stay. Great application.. #naughty nude,2018-09-23 03:28:29,Makeup
"Super creamy 
Perfect for lips",2018-09-22 22:20:23,Makeup
Less pigmented .. 2 to 3 application requires. Not as the colour I expected,2018-09-22 18:36:44,Makeup
I ordered 115 ivory bcoz of my fair skin tone and it's unbelievable. It gives a shiny look to your face and affordable too. Must buy.,2018-09-24 18:29:12,Makeup
Gives matte finish at the same time minimise pores.. overall a really good product.. fit me foundation and fit me concealer both are fantastic.. happy with the product...,2018-09-24 17:47:42,Makeup
"I finished over 2 bottles of this foundation. It is good for oily to combination skin. Gives a very natural finish. It is not full coverage though, its medium coverage which is buildable. Most of the shades have a warm undertone which suits Indian skin tone the best. Go for it girls!",2018-09-24 16:52:33,Makeup
This is the best foundation. Sometimes you may think that it doesn't fit you or it is Cakey. It is because you have not moisturised your skin nicely or you have not applied a good primer.,2018-09-24 15:01:17,Makeup
"Lightweight.
Semi Matt.
Medium coverage.
Good for all skin types.
Available in multiple shades.
Totally worthy.
Cheap.",2018-09-24 13:51:54,Makeup
"This foundation works so well on people having normal to oily skin type
Like I'm one of them
and believe me
This doesn't allow the secretion of oil
Like I've used it the entire day
Tho after 3-4 hours of application, your spots and acne become visible
but it can control your oil secretion throughout the day
But those who with dry skin
please don't use it
as it can leave white patches after 2-3 hours of application which you won't like
so thumbs up for Oily Skin
and thumbs down for dry skin",2018-09-22 19:01:58,Makeup
not full coverage but gives a sheer luminous finish.,2018-09-22 17:49:02,Makeup
This product turned out to be really awesome! A must buy in the make up kit ☺️,2018-09-22 17:37:17,Makeup
this is one of the best foundation. easy application and easy to carry,2018-09-22 17:33:23,Makeup
I was dying to buy this fit me foundation.. it is really a great experience. I bought the warm nude shade and it blends well great coverage area. I'm so happy to have this!,2018-09-22 17:24:57,Makeup
i love this foundation as it gives a matte finish and sufficient coverage. It also offers quite a few shades,2018-09-22 16:14:50,Makeup
this is such an amazing foundation for the price it comes at. totally worth the craze! This foundation is amazing!!!,2018-09-22 15:08:37,Makeup
I have used this product it suits almost every skin tone and its affordable only because of nykaa. ,2018-09-22 15:02:05,Makeup
The product gives a flawless matte look to the skin. Lasts for the whole day long.,2018-09-21 20:20:04,Makeup
Medium coverage and looks natural on skin. Does not look cakey. Easily blendable. Best for oily to combination skin❤️,2018-09-21 15:33:27,Makeup
It gives a smooth finish to the face and is great for the price. It can be used on a daily basis and stays for a long period of time without giving a cakey texture to the face.,2018-09-21 14:54:31,Makeup
Fit me is awesome. I just love this range. All products of Maybelline are cool enough but fit me is love...,2018-09-21 14:45:02,Makeup
Good one,2018-09-20 15:42:50,Makeup
It is the best foundation  and it is affordable. I love  this foundation.,2018-09-20 15:21:43,Makeup
Just a perfect drugstore foundation. I am dusky skin. The suitable fit me concealer shade will be 'cafe cafe'.,2018-09-20 14:12:55,Makeup
Its non-drying and stays for very long on the lips. I have the shade Red Carpet and its the perfect red for me which can be used in weddings as well. It stays even after eating! It is not very transfer-proof but everything has flaws! I wish it had more shades.,2018-09-24 16:54:22,Makeup
"the colour is fantastic but it doesn't blend in lips well. it lives long on lips but as it doesn't blend well, get cluttered on lips. not recommended.",2018-09-22 14:41:54,Makeup
Best long lasting creamy matte textured Lipstick for daily office use. I am just a fan of it.,2018-09-21 20:32:36,Makeup
Best long lasting creamy textured Lipstick for daily use.,2018-09-21 20:31:10,Makeup
Stays upto 10 hrs without touchup... Really liked it ❣️,2018-09-20 04:22:45,Makeup
I loved the shade lively violet... Worth buying...,2018-09-19 13:03:09,Makeup
It's totally a waste of money. Not suitable for tan lips.,2018-09-18 11:02:27,Makeup
I'm never disappointed with Maybelline products and so as this product. I have medium fair skin tone and it suits me also. Very worth buying and would recommend strongly for all skin types and skin tones...A big Thumbs up for this product...,2018-09-18 10:23:58,Makeup
"There are so many beautiful shades but it doesn't stay for long , you have to re apply it after 2-3 hours.",2018-09-17 19:25:13,Makeup
It's too dry and colour which I got is not the same which is shown here.,2018-09-17 18:34:48,Makeup
Using red rush...Beautiful colour blends like butter on the lips...But it's giving a little glossy look instead of matte...,2018-09-17 13:22:46,Makeup
"So finally I need to stop buying the Maybelline lipstick range. I have tried their all 24 hours stay, super stay, colour show, metallic all lipsticks but despite such a brand and such good creamy texture, the staying power is zero! So please stop claiming even.",2018-09-17 08:18:03,Makeup
It's a good orangish red colour..but it's semi-matte types..too good for the price,2018-09-15 13:17:45,Makeup
"It's a tricky red. but a good one. I love this color but I don't know why it tends to look pinkish after 3-4 hours on my lips. Also, it doesn't stick long for me. This one red can look good on any complexion. this is my everyday red.",2018-09-15 13:01:30,Makeup
"Pink power is a very light and ""patchy"" lipstick.I regret having bought this one! It mostly suits a very fair skin tone. I liked Rock the coral when compared to Pink power. This is also a light shade which has got a pink undertone and not so patchy.",2018-09-14 19:26:35,Makeup
Pink power is patchy and very light coloured lipstick. I regret having bought this one. It mostly suits fair skin tone. I liked rock the coral even though it's having a pink kinda shade. I prefer Rock the coral over Pink power.,2018-09-14 19:13:57,Makeup
Beautiful range by Maybelline. just love this color. matte finish. stays for 3-4 hrs,2018-09-13 19:59:37,Makeup
It has a smooth texture and doesn't make my lips too dry. I am giving 4 stars as the shade doesn't suit me.,2018-09-13 17:06:50,Makeup
Loved the shade..and it's quite reasonable compared to other brands.,2018-09-13 17:01:40,Makeup
I have a fair skin. I personally didn't like this colour coral... It doesn't suites me...,2018-09-13 12:22:57,Makeup
"I am in love with this lip crayon.i have 4 color shades from this range.
pros- affordable, good color payoff, doesn't smudge, matte and  easy to apply
cons- need to sharpen it which can cause little wastage of the product and can  dry lips 

quick tip- moisture your lips with a balm and then apply this crayon (works amazingly and doesn't dry lips)",2018-09-27 20:47:43,Makeup
1st it is not at all matte. Its like glossy and remove by hands with one swipe.,2018-09-27 18:06:06,Makeup
Worth for the price.,2018-09-27 16:23:18,Makeup
Love the product!,2018-09-27 14:59:51,Makeup
The texture is just like a crayon we use on paper. Soft and delicious smelling.however the color s are little different than picture not highly pigmented. However stays long unless you eat something oily. Pocket-friendly..so must try.,2018-09-27 11:38:56,Makeup
"This is an awesome nude color for fair to medium skin tones....might wash out deeper complexions...must try at the counters before buying online....but otherwise perfect for everyday wear and for no-makeup looks! it gives a creamy finish, quite light colored and it looks like my lips but a better shade! The only drawback that the size is extremely small and comes with no sharpener.",2018-09-27 09:06:21,Makeup
Affordable crayon.,2018-09-27 06:31:21,Makeup
Shade is good but you can't Sharp the pencil..it keeps breaking..lot of wastage,2018-09-27 05:22:07,Makeup
A nude shade for dusky skin tone is superb.,2018-09-26 17:55:10,Makeup
"Very affordable. lovely texture, formula. glides like a butter. lakme know their lipstick game really well. I have the shade cinnamon brown- which is lovely everyday kind of a shade & can be used as a neutralizer on a dark shade lipstick.
another shade I have is shocking pink- is this really peppy pink color which just uplifts your mood. a very beautiful shade
definately recommend this.
atleast one shade from this range is definately worth trying it.
totally in love with these. thanks, Nykaa.",2018-09-26 16:51:14,Makeup
There is only 1 drawback which is lack of shades but overall its good.,2018-09-26 14:53:04,Makeup
"It is an average lip color. Can be used just casually, not lasting much.",2018-09-26 12:09:18,Makeup
I like the crayon very much. I use it all the time when I go out.. to all places.,2018-09-26 07:37:38,Makeup
"These are tiny bundles of joy. Very pigmented, very smooth on the lips, I would definitely recommend!",2018-09-26 06:55:45,Makeup
Better than Lipsticks!!,2018-09-26 06:38:39,Makeup
"I own 3 shades from this range and love them. This product is a must-have. The shades in this range are very good. It doesn't dry out on the lips, doesn't make them look flaky. Stays for 3-4 hours from initial application. It's worth a try. I like the peach shade.",2018-09-26 05:43:02,Makeup
It's a nice shade of pink and can be worn daily. The shade I purchased was shocking pink.,2018-09-26 04:13:11,Makeup
The Colour is good ..but it makes my lips too dry.,2018-09-25 21:35:45,Makeup
Colour came same as shown in the image.,2018-09-24 18:19:26,Makeup
Good texture... matte lipstick... the great one...,2018-09-24 18:01:53,Makeup
The colour blush velvet is really cool & nude shade.. Use it day & night both time..,2018-09-28 06:55:17,Makeup
"I bought coffee light, cocoa soft and plum rose. Amazing. Kept coming back for more. Hope they come up with more shades for the darker tone girls.",2018-09-27 18:14:42,Makeup
"Has a creamy formula so it doesn't dry the lips. Staying power is okay though, doesn't survive a heavy meal. If left undisturbed, it stays on the lips for 4 to 5 hours. Overall a good product.",2018-09-27 16:04:27,Makeup
It's good. The colour is so rich and makes you look more beautiful. Just go for it blindly if you want to sparkle or impress. It lasts for a longer time and it's perfect matte!! So much love for it,2018-09-27 08:49:37,Makeup
Nice mousse texture with hint of coco fragrance. Do not dry out lips.,2018-09-27 06:26:14,Makeup
"This color is so beautiful that I am going to buy it again n again
Had bought it the first time as my wedding makeup kit and seriously its a must have for a newly wed girl.
Color is so pretty. Just make sure to exfoliate and hydrate ur lips a bit before using. It's a beautiful reddish tone that goes too well on a dusky skin girl like me.",2018-09-26 14:52:27,Makeup
"Awesome shade. the Matt finish just gives the perfect look to the face, enhances beauty and the best part is it stays long! Unique shades available, surely gonna try rest of them...",2018-09-26 12:53:17,Makeup
Loved it .. gives an elegant look.,2018-09-26 11:43:17,Makeup
Awesome,2018-09-26 09:55:00,Makeup
"I love the shade burgundy lush, especially for whitish skin tone... nice pigmented ... I also use it for blush effect as the product is blendable.",2018-09-26 09:38:01,Makeup
Its a perfect nude for a medium to fair skin tone. But it might wash out the dusky beauties. Watch swatch videos before buying.,2018-09-26 05:47:12,Makeup
Its a beautiful brown with warm undertones. Its my first brown lipcolor and I am in love with it.,2018-09-26 05:44:31,Makeup
"Works great as a blush, didn't like it was a lipstick as much. Has a strong chemical smell. The look of the lipstick is cute.",2018-09-25 18:09:59,Makeup
"After reading so many positive reviews , I bought these 2 shades ... Well, I was looking for brown or mauve shades but these shade especially coffee lite is none of those. But unusually its combination of both. This is a very subtle shade kind of brownish purplish mauve.  It’s a very different shade. I like a subtle calm bold look. I am fair skin tone and it’s kind of look nude on me.  While plum feather is a popping vibrant pinkish red shade, kind of magenta. Gives you a perfect pop of colour.  The texture of lipstick is mousse kind creamy, easy to apply with a wand but it slightly takes time to dry. To transfer proof and smudge proof.",2018-09-24 15:39:21,Makeup
"This lipstick is my companion. I just can't go anywhere without carrying this lipstick with me. Be it a date or just going to college, this colour is perfect for every occasion. The lipstick feels very light on the lips and I just love the smell. This can also be used as a blush on the cheeks.",2018-09-24 14:50:00,Makeup
"Very lightweight formula and amazing pigmentation, better than NYX smlc, wish they had more shades.",2018-09-23 13:47:39,Makeup
I am using it from last 2 months. It stays through my office hours and looks amazing. I feel comfortable after applying it.,2018-09-22 21:02:27,Makeup
"Highly pigmented and looks great on the lips! The stay is great, too !",2018-09-21 21:21:27,Makeup
amazing finish. Smooth texture. Matte look and vibrant colors. It feels light on lips and has a very smooth and velvety finish and there is no leaking or bleeding whatsoever. highly recommended.,2018-09-21 20:02:34,Makeup
Great for better colour direction check some YouTube videos first.,2018-09-21 18:06:42,Makeup
A beautiful matte shade... Looks pretty when applied...,2018-09-24 17:57:55,Makeup
This is a black colour with a tinge of the wine colour. The nails looks beautiful when it dries off and gives a winish black colour. Its a must have.,2018-09-24 14:52:21,Makeup
Its a beautiful white colour. The nail paint stays for a week. The matte finish is really great.,2018-09-24 14:14:42,Makeup
This is a very beautiful green colour. It's a sober colour. The matte finish is obviously good. And it stays for a long time.,2018-09-24 14:05:51,Makeup
I love the matte finished of this product. It has more pretty shades. i simply love this one,2018-09-23 13:13:10,Makeup
"Perfect color, with color contrast help to create brighter looking nails.",2018-09-23 13:06:25,Makeup
The colours are nice and the quality of nail polishes is also good.,2018-09-23 05:10:47,Makeup
I'm totally in love with almost all the shades in Matte look Nykaa is offering. The only drawback is that few nail paints they've sent are of 2017 and thus are close to expiry,2018-09-23 03:17:17,Makeup
Quality is really amazing,2018-09-23 02:57:49,Makeup
"These nail polish are so long lasting so so matte and looking beautiful in anyone's hand, also bottles are so big.",2018-09-23 02:33:16,Makeup
This is by far the best nude shade I have ever tried. It looks amazing as matte and even with a top coat. ,2018-09-22 07:41:21,Makeup
"Totally love this product, in just one swipe it gives your perfect colour. It has a nice matte finish, hands look manicured. Definitely, buy if you're into the pastels.",2018-09-21 18:15:49,Makeup
I can wear this colour forever..it's so beautiful and so rich plus the matte effect is just amazing..love it!!!,2018-09-21 16:55:06,Makeup
"Beautiful colours, easy to apply, and super fast drying. There's nothing bad about this. Just buy it without thinking twice.",2018-09-20 12:28:36,Makeup
